ID;Nome;Descrição;Preço Unitário;Quantidade;Caminho da Imagem
53;CONTROLADOR DE ACESSO CONTROL ID MODELO IDACCES NANO VERSAO ENTERPRISE, BIO PROX ASK ;O controlador de acesso iDAccess Nano (Versão Enterprise/Bio Prox ASK) da Control iD é um dispositivo compacto e de alta performance, projetado para o controle de entrada e saída de pessoas em ambientes corporativos, comerciais e residenciais;2390,00;0;eq_599cbca76b0f443faf96bc066ab1beb2.png
54;CONTROLADOR DE ACESSO CONTROL ID MODELO IDFLEX COM BIOMETRIA E PROXIMIDADE 125 KHZ;é um controlador de acesso multifuncional e compacto, ideal para empresas de todos os tamanhos que buscam segurança e praticidade. Este modelo específico combina três formas de identificação: biometria, cartões de proximidade de 125 kHz (RFID) e senha numérica via teclado na tela;2449,00;0;eq54_0b8ae66062b1446b97f11ce368de40a5.png
22;CRACHÁS PERSONALIZADOS;"crachás de proximidade RFID 125 Khz personalizados 
4/4.";10,50;1;eq_4d252385273d4f4b93048554c7ec4acd.png
23;CRACHÁS PERSONALIZADOS;"crachás de proximidade RFID 125 Khz personalizados
4/0.";9,50;1;eq_62fec7b2df344d21b5a7f78d48364137.png
24;CRACHÁS PERSONALIZADOS;"crachás de proximidade MIFARE personalizados
4/4.";10,50;1;eq_cfd4416fd6ce4ef699a5fab3569d4569.png
25;CRACHÁS PERSONALIZADOS;"crachás de proximidade MIFARE personalizados
4/0.";9,50;1;eq_cf39437f97d941b088a18d85735e425e.png
26;CRACHÁS PERSONALIZADOS;crachás de proximidade RFID 125 Khz personalizados 4/1.;10,00;1;eq_7476f6c5b4a149979ed7c64d52fe4811.png
27;CRACHÁS PERSONALIZADOS;"crachás de proximidade MIFARE personalizados
4/1.";10,00;1;eq_175c7b4f46764871a16c8d226ad37223.png
75;EIXO ROSCADO;;38,00;;
72;"ENGRENAGEM ""E""";;36,00;;
61;EVO CARTOGRAFICO COM BATERIA  ;é um relógio de ponto cartográfico (mecânico) projetado para pequenas empresas que buscam uma solução simples e econômica para o controle de jornada.;1090,00;0;eq61_100d444d03a6487c89c244b1324fe271.png
60;EVO CARTOGRAFICO SEM BATERIA ;é um relógio de ponto cartográfico (mecânico) projetado para pequenas empresas que buscam uma solução simples e econômica para o controle de jornada.;980,00;0;eq60_8568fc31fab044b191ba0e17e79ab256.png
55;Expedidora de Comandas 9X7 | EVO ;Catraca expedidora de comandas 9x7cm para controle de acesso e consumo. Ideal para padarias, restaurantes e lojas de conveniência.;10690,00;0;eq55_5ebb976c9def48d9914028e5de87e70c.png
14;FECHO ELETROIMÃ 150KG;Fechadura Eletroímã 150kg sem sensor;595,00;1;fecho_eletroima.png
16;FECHO ELETROIMÃ 180KG;Fechadura Eletroímã 180kg sem sensor;595,00;1;fecho_eletroima.png
78;FITA;;55,00;;
30;FONTE TEMPORIZADA COM NOBREAK;FONTE TEMPORIZADA COM NOBREAK;360,00;1;eq_ce80e5ff5cf9449fa5890fc84d9c108c.png
65;HENRY VEGA CARTOGRAFICO COM BATERIA;é oferecido em versões que incluem uma bateria interna de no-break, permitindo que o equipamento continue funcionando por até 12 horas mesmo sem energia elétrica.;1763,00;1;eq65_8f5a8061768b49079756126b466a9ca8.png
64;HENRY VEGA CARTOGRAFICO SEM BATERIA; sem bateria é um equipamento mecânico compacto que funciona exclusivamente ligado à tomada, sem autonomia em quedas de energia. Imprime em duas cores (preto/vermelho);1350,00;1;eq64_a2897e977d2c4cc6a037667799624ff8.png
41;iDBlock Next Facial INOX + 2 Faciais MAX;iDBlock Next Facial INOX + 2 Faciais MAX (10 mil faces) + Prox. 13,56 MHz (Mifare) –;1151,00;1;eq_f67e485d56ed49f5b35d9bc6c981e6be.png
42;iDBlock Next Facial Pintada + 2 Faciais MAX (10 mil faces) + Prox. 13,56 MHz (Mifare) ;iDBlock Next Facial Pintada + 2 Faciais MAX (10 mil faces) + Prox. 13,56 MHz (Mifare) ;1025,00;1;eq_dda1edfe6cd14d069b6d099358cd31c0.png
7;IDBLOCK NEXT FACIAL PINTADA 01 LEITOR 3MIL FACES + PROX 125 KHZ + QRCODE;"CATRACA MODELO IDBLOCK NEXT PRETA (com 1 
leitor facial) + LEITOR PROXIMIDADE + LEITOR QR 
CODE dotada de mecanismo inovador e ultra
silencioso, pode ser utilizada em qualquer tipo de 
ambiente e estabelecimento. o produto conta com 
display touch screen e até 3.000 faces ";6190,00;2;IdBlock_Next_1_facial_edit-removebg-preview.png
5;Idblock Next Facial Pintada 2 Faciais 3mil Faces Cada + Prox 125 Khz + Qrcode;"CATRACA MODELO IDBLOCK NEXT PRETA (com 2 
leitor facial) + LEITOR PROXIMIDADE + LEITOR QR 
CODE dotada de mecanismo inovador e ultra
silencioso, pode ser utilizada em qualquer tipo de 
ambiente e estabelecimento. o produto conta com 
display touch screen e até 3.000 faces ";6290,00;2;Catraca_idblock_next_preta_2_faciais.png
62;IDBLOCK PNE INOX FACIAL  C/ 02 LEITORES 3 MIL FACES CADA + LEITOR PROX ASK + LEITOR QRCODE;é uma solução completa e de alta tecnologia projetada para controle de acesso, acessibilidade (PNE), segurança e agilidade, permitindo o reconhecimento facial em ambos os sentidos (entrada e saída)Reconhecimento facial (câmeras HD 1080p), leitor de proximidade (RFID MIFARE ou 125kHz ASK), leitor de QR Code.;15990,00;0;eq62_f663ded7d3314c26a750da604eb9b9c7.png
6;IDCLASS BIOMETRIA E PROXIMIDADE;"Solução para controle de ponto Modelo ID CLASS 
com biometria e proximidade. Display colorido 
touchscreen 2,4” Suporta bobinas de 400 metros ";1890,00;2;imagem_2025-10-09_154153168.png
1;iDClass Facial;Solução para controle de ponto, modelo informatizado Control ID - IDCLASS REP C, com leitor facial para 3.000 faces, cartão de proximidade RFID e senha. Comunicação TCP/IP.;2900,00;1;idclass-facial.png
57;iDFace Face Prox ASK 3 Mil Faces;é um controlador de acesso por reconhecimento facial avançado desenvolvido pela Control iD, projetado para oferecer alta segurança e rapidez na identificação de pessoas em empresas, condomínios e indústrias. Suporta a identificação de até 10.000 a 30.000 faces (dependendo da versão) e possui tela touchscreen de 3,5 polegadas;1790,00;0;eq_94d399be984546ce8e08a1a950b56c42.png
4;IdFace Max;"Controlador de acesso CONTROL ID MODELO IDFACE MAX. 
Grau de Proteção IP65, Display touchscreen de 7”. Comunicação 
TCP/IP, USB. Identificação de até 10.000 faces com detecção de 
rosto vivo e Protocolo SIP integrado ";2345,00;1;eq4_f138ebd0f98f44058fe9594fee5fac01.png
3;IDface Ponto;"Controlador de ponto Control ID modelo IDface com Grau 
de Proteção IP65, Display Touchscreen de 3,5”. 
Comunicação TCP/IP, USB. Identificação de até 3.000 faces 
com detecção de rosto vivo, e cartão proximidade 125 KHz.";1890,00;1;eq3_1985174c52ee42bea6fb85e89139c749.png
12;INSTALAÇÃO DIVERSAS;FIXAÇÃO, CONFIGURAÇÃO E TREINAMENTO;197,00;1;INSTALACAO.png
37;INSTALAÇÃO E TREINAMENTO DE SISTEMA;INSTALAÇÃO E TREINAMENTO DE SISTEMA;197,00;1;eq_95f4af8e3a6f49d28e8dfc820a681246.png
68;PACOTE COM 500 CARTÕES DO VEGA;é um suprimento essencial para relógios de ponto cartográficos, compatível com diversos outros equipamentos importados;185,00;10;eq68_632311f4cdb84934835c82b092bfb0fe.png
73;PINHÃO 8 BANDEIRAS;;28,00;;
71;PORTA CARTÃO 10 LUGARES;Porta-cartão com capacidade para 10 lugares, chapeira de parede para cartões de ponto.;90,00;2;eq71_29f55c4dc1c4441a9efb26f3784361e1.png
70;PORTA CARTÃO 25 LUGARES;Porta-cartão com capacidade para 25 lugares, chapeira de parede para cartões de ponto.;150,00;0;eq70_018119590fc9491caac974ea7de673b2.png
69;PORTA CARTÃO 50 LUGARES;Os modelos de porta-cartão com capacidade Porta cartão para 50 lugares, chapeira de parede para cartões de ponto.;210,00;5;eq69_122ed62a1f514aad9636cf93326612cb.png
40;PRD00659 - CATRACA FLAP LATERAL CADEIRANTE EVO LD-FB2511;PRD00659 - CATRACA FLAP LATERAL CADEIRANTE EVO LD-FB2511;24200,00;1;eq40_2d59bb97958e424387bb3bbbfd741512.png
39;PRD00660 - CATRACA FLAP CENTRAL CADEIRANTE EVO LD-FB2511 - (01 ASA CADEIRANTE);PRD00660 - CATRACA FLAP CENTRAL CADEIRANTE EVO LD-FB2511 - (01 ASA CADEIRANTE);33200,00;1;eq39_fbf491c07eb644a299b7aca33d1158b2.png
9;PRISMA SF ADV BIO PROX VERMELHO SUPREMA;Relógio de ponto informatizado modelo prisma super fácil adv - display gráfico colorido touchscreen, 2 portas USB, pictograma orientativo, web server, impressora inteligente com guilhotina.;2790,00;1;foto_prisma.png
44;Receptor Intelbras XAR 4000 SMART; Módulo de expansão RF que permite a comunicação entre centrais de alarme Intelbras e dispositivos sem fio, como controles remotos e sensores;250,00;1;eq_268dafc7d14445eaba94d22e767db8f0.png
79;REGISTRADOR DE PONTO EVO FACIAL REP C;REGISTRADOR DE PONTO EVO FACIAL REP C de 1.500 faces, com fone, wi-fi  com integração ao software velti e henry ponto, com emissão de comprovante.;2190,00;1;eq_efa2e0bda19a4bd6929aed4ba56ffa25.png
50;SMART MODEM 3G / TP-Link K ;SMART MODEM 3G / TP-Link – modelo: WI-FI TP-LINK TL-WR702N;380,00;2;eq_7fb4cbc2ee7641cebf8cd4235b22b239.png
